date,temperature,humidity,luminosity
2021-11-17 15:26:58.011,20.5,28.2,24
2021-11-17 15:26:56.483,20.5,28.2,24
2021-11-17 15:26:54.980,20.5,28.2,24
2021-11-17 15:26:53.452,20.5,28.3,24
2021-11-17 15:26:51.948,20.5,28.3,24
2021-11-17 15:26:50.420,20.5,28.3,24
2021-11-17 15:26:48.921,20.5,28.3,24
2021-11-17 15:26:47.389,20.5,28.3,24
2021-11-17 15:26:45.890,20.5,28.3,23
2021-11-17 15:26:44.362,20.5,28.3,23
2021-11-17 15:26:42.859,20.5,28.3,22
2021-11-17 15:26:41.331,20.5,28.3,23
2021-11-17 15:26:39.827,20.5,28.3,23
2021-11-17 15:26:38.299,20.5,28.3,23
2021-11-17 15:26:36.796,20.5,28.3,23
2021-11-17 15:26:35.268,20.5,28.2,24
2021-11-17 15:26:33.765,20.5,28.2,24
2021-11-17 15:26:32.237,20.5,28.3,14
2021-11-17 15:26:30.734,20.5,28.3,20
2021-11-17 15:26:29.206,20.5,28.3,16
2021-11-17 15:26:27.702,20.5,28.3,24
2021-11-17 15:26:26.174,20.5,28.3,24
2021-11-17 15:26:24.675,20.5,28.3,25
2021-11-17 15:26:23.143,20.5,28.3,20
2021-11-17 15:26:21.643,20.5,28.3,24
2021-11-17 15:26:20.116,20.5,28.3,23
2021-11-17 15:26:18.612,20.5,28.3,23
2021-11-17 15:26:17.085,20.5,28.4,22
2021-11-17 15:26:15.581,20.5,28.4,22
2021-11-17 15:26:14.053,20.4,28.3,22
2021-11-17 15:26:12.550,20.4,28.3,22
2021-11-17 15:26:11.022,20.4,28.4,22
2021-11-17 15:26:09.519,20.4,28.4,22
2021-11-17 15:26:07.990,20.4,28.4,22
2021-11-17 15:26:06.487,20.4,28.4,22
2021-11-17 15:26:04.959,20.4,28.4,19
2021-11-17 15:26:03.456,20.4,28.4,16
2021-11-17 15:26:01.928,20.4,28.5,16
2021-11-17 15:26:00.429,20.4,28.5,16
2021-11-17 15:25:58.901,20.4,28.5,16
2021-11-17 15:25:57.398,20.4,28.5,16
2021-11-17 15:25:55.869,20.4,28.5,16
2021-11-17 15:25:54.366,20.4,28.5,16
2021-11-17 15:25:52.838,20.4,28.5,16
2021-11-17 15:25:51.335,20.4,28.5,17
2021-11-17 15:25:49.807,20.4,28.5,17
2021-11-17 15:25:48.303,20.4,28.5,17
2021-11-17 15:25:46.776,20.4,28.3,17
2021-11-17 15:25:45.272,20.4,28.3,17
2021-11-17 15:25:43.744,20.4,28.3,18
2021-11-17 15:25:42.241,20.4,28.3,17
2021-11-17 15:25:40.713,20.4,28.3,17
2021-11-17 15:25:39.213,20.4,28.3,17
2021-11-17 15:25:37.686,20.4,28.3,18
2021-11-17 15:25:36.182,20.4,28.3,21
2021-11-17 15:25:34.654,20.4,28.3,25
2021-11-17 15:25:33.151,20.4,28.3,25
2021-11-17 15:25:31.623,20.4,28.3,25
2021-11-17 15:25:30.120,20.4,28.3,25
2021-11-17 15:25:28.592,20.4,28.3,25
2021-11-17 15:25:27.088,20.4,28.3,25
2021-11-17 15:25:25.560,20.4,28.4,25
2021-11-17 15:25:24.057,20.4,28.4,25
2021-11-17 15:25:22.529,20.4,28.4,25
2021-11-17 15:25:21.030,20.4,28.4,25
2021-11-17 15:25:19.502,20.4,28.5,25
2021-11-17 15:25:17.999,20.4,28.5,25
2021-11-17 15:25:16.471,20.4,28.5,25
2021-11-17 15:25:14.968,20.4,28.5,25
2021-11-17 15:25:13.439,20.4,28.5,25
2021-11-17 15:25:11.936,20.4,28.5,25
2021-11-17 15:25:10.408,20.4,28.5,25
2021-11-17 15:25:08.904,20.4,28.5,25
2021-11-17 15:25:07.377,20.4,28.5,25
2021-11-17 15:25:05.873,20.4,28.5,25
2021-11-17 15:25:04.346,20.4,28.4,20
2021-11-17 15:25:02.842,20.4,28.4,20
2021-11-17 15:25:01.314,20.4,28.3,20
2021-11-17 15:24:59.810,20.4,28.3,21
2021-11-17 15:24:58.282,20.4,28.3,21
2021-11-17 15:24:56.783,20.4,28.3,20
2021-11-17 15:24:55.255,20.4,28.3,23
2021-11-17 15:24:53.752,20.4,28.3,25
2021-11-17 15:24:52.224,20.4,28.3,25
2021-11-17 15:24:50.720,20.4,28.3,25
2021-11-17 15:24:49.192,20.4,28.3,25
2021-11-17 15:24:47.689,20.4,28.3,25
2021-11-17 15:24:46.161,20.4,28.2,25
