date,temperature,humidity,luminosity
2021-11-17 15:24:34.040,20.4,28.2,24
2021-11-17 15:24:32.536,20.4,28.2,24
2021-11-17 15:24:31.009,20.5,28.3,24
2021-11-17 15:24:29.505,20.5,28.3,24
2021-11-17 15:24:27.978,20.5,28.3,24
2021-11-17 15:24:26.474,20.5,28.3,24
2021-11-17 15:24:24.946,20.5,28.3,24
2021-11-17 15:24:23.443,20.5,28.3,25
2021-11-17 15:24:21.915,20.5,28.3,25
2021-11-17 15:24:20.411,20.5,28.3,25
2021-11-17 15:24:18.883,20.5,28.3,25
2021-11-17 15:24:17.380,20.5,28.3,24
2021-11-17 15:24:15.852,20.5,28.3,24
2021-11-17 15:24:14.353,20.5,28.3,24
2021-11-17 15:24:12.821,20.5,28.3,24
2021-11-17 15:24:11.322,20.5,28.3,24
2021-11-17 15:24:09.794,20.5,28.2,24
2021-11-17 15:24:08.290,20.5,28.2,24
2021-11-17 15:24:06.762,20.5,28.2,24
2021-11-17 15:24:05.259,20.5,28.2,24
2021-11-17 15:24:03.731,20.5,28.2,24
2021-11-17 15:24:02.228,20.5,28.2,24
2021-11-17 15:24:00.700,20.5,28.2,24
2021-11-17 15:23:59.197,20.5,28.2,24
2021-11-17 15:23:57.669,20.5,28.2,24
2021-11-17 15:23:56.166,20.5,28.2,24
2021-11-17 15:23:54.638,20.5,28.2,24
2021-11-17 15:23:53.139,20.5,28.2,24
2021-11-17 15:23:51.611,20.5,28.2,24
2021-11-17 15:23:50.107,20.5,28.2,24
2021-11-17 15:23:48.579,20.6,28.3,24
2021-11-17 15:23:47.076,20.6,28.3,24
2021-11-17 15:23:45.548,20.6,28.2,24
2021-11-17 15:23:44.044,20.6,28.2,24
2021-11-17 15:23:42.517,20.6,28.3,24
2021-11-17 15:23:41.013,20.6,28.3,24
2021-11-17 15:23:39.485,20.6,28.3,24
2021-11-17 15:23:37.982,20.6,28.3,24
2021-11-17 15:23:36.454,20.6,28.2,24
2021-11-17 15:23:34.951,20.6,28.2,24
2021-11-17 15:23:33.422,20.6,28.3,24
2021-11-17 15:23:31.919,20.6,28.3,24
2021-11-17 15:23:30.391,20.6,28.3,24
2021-11-17 15:23:28.892,20.6,28.3,24
2021-11-17 15:23:27.364,20.6,28.3,24
2021-11-17 15:23:25.861,20.6,28.3,24
2021-11-17 15:23:24.333,20.6,28.3,24
2021-11-17 15:23:22.830,20.6,28.3,24
2021-11-17 15:23:21.301,20.6,28.3,24
2021-11-17 15:23:19.798,20.6,28.3,24
2021-11-17 15:23:18.270,20.6,28.3,24
2021-11-17 15:23:16.767,20.6,28.3,24
2021-11-17 15:23:15.239,20.6,28.3,24
2021-11-17 15:23:13.735,20.6,28.3,24
2021-11-17 15:23:12.208,20.6,28.3,24
2021-11-17 15:23:10.704,20.6,28.3,24
2021-11-17 15:23:09.176,20.6,28.4,24
2021-11-17 15:23:07.673,20.6,28.4,24
2021-11-17 15:23:06.145,20.7,28.4,24
2021-11-17 15:23:04.646,20.7,28.4,24
2021-11-17 15:23:03.118,20.6,28.3,24
2021-11-17 15:23:01.614,20.6,28.3,24
2021-11-17 15:23:00.086,20.6,28.4,24
2021-11-17 15:22:58.583,20.6,28.4,24
2021-11-17 15:22:57.055,20.6,28.3,24
2021-11-17 15:22:55.551,20.6,28.3,24
2021-11-17 15:22:54.023,20.6,28.4,24
2021-11-17 15:22:52.520,20.6,28.4,24
2021-11-17 15:22:50.992,20.6,28.4,24
2021-11-17 15:22:49.489,20.6,28.4,24
2021-11-17 15:22:47.961,20.6,28.4,24
2021-11-17 15:22:46.457,20.6,28.4,24
2021-11-17 15:22:44.929,20.6,28.4,24
2021-11-17 15:22:43.426,20.6,28.4,24
2021-11-17 15:22:41.898,20.6,28.3,24
2021-11-17 15:22:40.399,20.6,28.3,24
2021-11-17 15:22:38.871,20.6,28.3,24
2021-11-17 15:22:37.368,20.6,28.3,25
2021-11-17 15:22:35.840,20.6,28.3,25
2021-11-17 15:22:34.336,20.6,28.3,25
2021-11-17 15:22:32.808,20.6,28.3,17
2021-11-17 15:22:31.305,20.6,28.3,16
2021-11-17 15:22:29.777,20.6,28.3,16
2021-11-17 15:22:28.274,20.6,28.3,17
2021-11-17 15:22:26.746,20.6,28.2,19
2021-11-17 15:22:25.242,20.6,28.2,19
2021-11-17 15:22:23.715,20.6,28.1,19
2021-11-17 15:22:22.211,20.6,28.1,15
2021-11-17 15:22:20.683,20.6,28.1,14
2021-11-17 15:22:19.180,20.6,28.1,14
2021-11-17 15:22:17.652,20.6,28.1,17
2021-11-17 15:22:16.152,20.6,28.1,24
2021-11-17 15:22:14.624,20.6,28.1,25
2021-11-17 15:22:13.121,20.6,28.1,25
2021-11-17 15:22:11.593,20.6,28.1,25
2021-11-17 15:22:10.090,20.6,28.1,25
2021-11-17 15:22:08.562,20.6,28.1,25
2021-11-17 15:22:07.059,20.6,28.1,25
2021-11-17 15:22:05.531,20.6,28.0,25
2021-11-17 15:22:04.027,20.6,28.0,25
2021-11-17 15:22:02.499,20.6,28.0,25
2021-11-17 15:22:00.996,20.6,28.0,25
2021-11-17 15:21:59.468,20.6,28.0,25
2021-11-17 15:21:57.965,20.6,28.0,25
2021-11-17 15:21:56.437,20.6,28.0,25
2021-11-17 15:21:54.938,20.6,28.0,25
2021-11-17 15:21:53.410,20.6,28.0,25
2021-11-17 15:21:51.907,20.6,28.0,25
2021-11-17 15:21:50.379,20.6,28.0,25
2021-11-17 15:21:48.875,20.6,28.0,25
2021-11-17 15:21:47.348,20.6,28.0,25
2021-11-17 15:21:45.844,20.6,28.0,25
2021-11-17 15:21:44.316,20.5,28.0,25
2021-11-17 15:21:42.813,20.5,28.0,24
2021-11-17 15:21:41.285,20.5,28.0,16
2021-11-17 15:21:39.781,20.5,28.0,15
2021-11-17 15:21:38.254,20.5,28.0,15
2021-11-17 15:21:36.750,20.5,28.0,15
2021-11-17 15:21:35.222,20.5,28.0,24
2021-11-17 15:21:33.723,20.5,28.0,24
2021-11-17 15:21:32.195,20.5,28.0,24
2021-11-17 15:21:30.692,20.5,28.0,24
2021-11-17 15:21:29.164,20.5,28.0,24
2021-11-17 15:21:27.660,20.5,28.0,24
2021-11-17 15:21:26.132,20.5,28.1,21
2021-11-17 15:21:24.629,20.5,28.1,24
2021-11-17 15:21:23.101,20.5,28.1,25
2021-11-17 15:21:21.598,20.5,28.1,25
2021-11-17 15:21:20.070,20.5,28.1,25
2021-11-17 15:21:18.567,20.5,28.1,25
2021-11-17 15:21:17.039,20.5,28.2,25
2021-11-17 15:21:15.535,20.5,28.2,25
2021-11-17 15:21:14.007,20.5,28.2,25
2021-11-17 15:21:12.508,20.5,28.2,25
2021-11-17 15:21:10.980,20.5,28.2,25
2021-11-17 15:21:09.476,20.5,28.2,25
2021-11-17 15:21:07.949,20.5,28.2,25
2021-11-17 15:21:06.445,20.5,28.2,25
2021-11-17 15:21:04.917,20.5,28.2,25
2021-11-17 15:21:03.414,20.5,28.2,25
2021-11-17 15:21:01.886,20.5,28.2,25
2021-11-17 15:21:00.383,20.5,28.2,24
2021-11-17 15:20:58.855,20.5,28.2,24
